ID Name
hsa05169 "Epstein-Barr virus infection"
hsa05170 "Human immunodeficiency virus 1 infection"
hsa05200 "Pathways in cancer"
hsa05202 "Transcriptional misregulation in cancer"
hsa05203 "Viral carcinogenesis"
hsa05205 "Proteoglycans in cancer"
hsa05210 "Colorectal cancer"
hsa05211 "Renal cell carcinoma"
hsa05212 "Pancreatic cancer"
hsa05213 "Endometrial cancer"
hsa05214 Glioma
hsa05215 "Prostate cancer"
hsa05216 "Thyroid cancer"
hsa05217 "Basal cell carcinoma"
hsa05218 Melanoma
hsa05219 "Bladder cancer"
hsa05220 "Chronic myeloid leukemia"
hsa05221 "Acute myeloid leukemia"
hsa05222 "Small cell lung cancer"
hsa05223 "Non-small cell lung cancer"
hsa05224 "Breast cancer"
hsa05225 "Hepatocellular carcinoma"
hsa05226 "Gastric cancer"
hsa05230 "Central carbon metabolism in cancer"
hsa05231 "Choline metabolism in cancer"
hsa05235 "PD-L1 expression and PD-1 checkpoint pathway in cancer"
hsa05310 Asthma
hsa05320 "Autoimmune thyroid disease"
hsa05321 "Inflammatory bowel disease (IBD)"
hsa05322 "Systemic lupus erythematosus"
hsa05323 "Rheumatoid arthritis"
hsa05330 "Allograft rejection"
hsa05332 "Graft-versus-host disease"
hsa05412 "Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
hsa05414 "Dilated cardiomyopathy (DCM)"
hsa05416 "Viral myocarditis"
hsa05418 "Fluid shear stress and atherosclerosis"
